City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kuandian,CN,83.28,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
17,Paungde,MM,82.26,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
26,Montpellier,FR,75.88,overcast clouds,43.6109,3.8772,Le Jardin Des Sens
27,Daru,PG,79.72,overcast clouds,-9.0763,143.2092,Daru Lodge
37,Marsh Harbour,BS,82.87,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
41,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
51,Springdale,US,84.33,clear sky,36.1867,-94.1288,Springdale Inn
58,Hithadhoo,MV,80.82,broken clouds,-0.6,73.0833,Scoop Guest House
66,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
69,Georgetown,MY,86.9,moderate rain,5.4112,100.3354,Cititel Penang
71,Hilo,US,86.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
82,Namatanai,PG,84.79,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
95,Marigot,MF,82.18,broken clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
97,Harrison,US,86.05,few clouds,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
98,Faanui,PF,78.06,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,Riyadh,SA,87.94,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
104,Victoria,HK,89.96,clear sky,22.2855,114.1577,Mini Hotel Central
112,Ushibuka,JP,84.31,overcast clouds,32.1906,130.0228,Hotei
116,Ixtapa,MX,79.99,broken clouds,20.7,-105.2,Hotel Plaza Providencia
127,Le Vauclin,MQ,79.84,overcast clouds,14.5452,-60.8388,Hôtel Cap Macabou
129,Humaita,BR,76.46,few clouds,-7.5061,-63.0208,Corrêa Hotel
133,Jinchang,CN,84.4,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
137,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
141,Celestun,MX,81.86,overcast clouds,20.8667,-90.4,Posada Lilia
144,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
148,Katsuura,JP,87.84,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
153,Hasaki,JP,88.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
154,Auki,SB,83.46,scattered clouds,-8.7676,160.7034,Auki Motel
155,Ambulu,ID,80.42,clear sky,-8.345,113.6058,Hotel Ambulu Jember
165,Zhezkazgan,KZ,81.95,clear sky,47.8043,67.7144,Hotel Zumrat
172,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
175,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
176,Chegdomyn,RU,88.74,broken clouds,51.1167,133.0167,Gostinitsa Bureya
186,Ursulo Galvan,MX,84.2,clear sky,22.7333,-98.3,HOTEL LAS FUENTES DEL BERNAL
190,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
191,Batticaloa,LK,81.52,overcast clouds,7.7102,81.6924,Grand Star Guest House
205,Termoli,IT,77.27,clear sky,41.9888,14.9895,Hotel Mistral
211,Guarenas,VE,75.15,overcast clouds,10.4674,-66.6066,Grand Hotel
214,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
235,Pringsewu,ID,80.49,overcast clouds,-5.3582,104.9744,Urban Style by Front One
236,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
238,San Patricio,US,86.41,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
244,Roswell,US,79.86,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
247,Payo,ID,79.21,light rain,-3.7508,103.6372,Mess keban agung
250,Lazaro Cardenas,MX,82.35,overcast clouds,17.9583,-102.2,quinta antigua
252,Bubaque,GW,79.0,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
255,Muisne,EC,75.04,overcast clouds,0.6,-80.0333,Quinta Samay
257,Zaoyang,CN,82.17,light rain,32.1272,112.7542,Shanghai Hotel
260,Kerema,PG,78.15,overcast clouds,-7.9631,145.7785,Frena Lodge
276,Mora,CM,75.85,scattered clouds,11.0461,14.1401,Hotel Emergence
284,Morgan City,US,84.04,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
285,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
296,Kilifi,KE,75.58,scattered clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
307,Howard Springs,AU,87.87,few clouds,-12.497,131.047,buffalo beach hostel
326,Ratnagiri,IN,80.15,light rain,16.9833,73.3,Hotel Landmark
367,Nurota,UZ,75.29,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
